gene_id	gene_name	Control1	Control2	Eed_cKO1	Eed_cKO2
ENSMUSG00000000001.4	Gnai3	94.004401	108.907962	118.323099	83.396811
ENSMUSG00000000003.15	Pbsn	0	0	0	0
ENSMUSG00000000028.15	Cdc45	17.358617	18.450154	41.530625	17.691335
ENSMUSG00000000031.16	H19	2.672336	1.42464	2.620037	5.656327
ENSMUSG00000000037.17	Scml2	1.774542	0.891311	3.009791	3.6293
ENSMUSG00000000049.11	Apoh	0	0.12249	0	0
ENSMUSG00000000056.7	Narf	22.893817	16.666388	17.4507	20.527044
ENSMUSG00000000058.6	Cav2	33.379743	33.333146	25.308836	48.632885
ENSMUSG00000000078.7	Klf6	386.556077	408.367856	411.479219	418.960564
ENSMUSG00000000085.16	Scmh1	26.335233	35.960849	42.79278	31.413674
ENSMUSG00000000088.7	Cox5a	547.451162	620.676768	595.295385	546.813294
ENSMUSG00000000093.6	Tbx2	2.743232	1.887082	3.085888	10.130624
ENSMUSG00000000094.12	Tbx4	0.211081	0.366524	0.064922	0.562886
ENSMUSG00000000103.12	Zfy2	0	0	0	0
ENSMUSG00000000120.6	Ngfr	0.447565	0.241589	1.127971	0.268566
ENSMUSG00000000125.5	Wnt3	3.184665	1.20909	2.207248	1.248378
ENSMUSG00000000126.11	Wnt9a	0.743809	0.430394	0.428805	0.620097
ENSMUSG00000000127.15	Fer	13.210328	16.723303	16.381727	18.625527
ENSMUSG00000000131.15	Xpo6	67.011783	66.205198	50.30273	58.436065
ENSMUSG00000000134.17	Tfe3	33.646719	29.900762	25.898267	35.859143
ENSMUSG00000000142.15	Axin2	4.79847	2.977348	5.709741	5.357185
ENSMUSG00000000148.17	Brat1	23.420338	15.343008	22.893299	20.484825
ENSMUSG00000000149.10	Gna12	119.461957	26.417028	197.942146	174.180447
ENSMUSG00000000154.16	Slc22a18	0	0.40192	0.283079	0.659495
ENSMUSG00000000157.16	Itgb2l	0	0	0	0
ENSMUSG00000000159.16	Igsf5	0	0.72507	0.167398	1.32337
ENSMUSG00000000167.14	Pih1d2	4.488023	2.837211	3.630129	3.683068
ENSMUSG00000000168.9	Dlat	63.105912	57.922664	56.866794	37.732345
ENSMUSG00000000171.5	Sdhd	291.6763	329.711064	302.759747	286.128599
ENSMUSG00000000182.9	Fgf23	0	0	0.400203	0
ENSMUSG00000000183.6	Fgf6	0	0	0	0
ENSMUSG00000000184.12	Ccnd2	655.239327	670.732004	1403.614458	555.843556
ENSMUSG00000000194.13	Gpr107	25.80832	37.131362	33.083689	42.90025
ENSMUSG00000000197.8	Nalcn	8.505112	5.347036	5.009616	6.526811
ENSMUSG00000000202.9	Btbd17	82.084253	99.161611	103.049126	74.755526
ENSMUSG00000000204.16	Slfn4	0	0	0.11314	0.05118
ENSMUSG00000000214.11	Th	0	0	1.5284	0.1832
ENSMUSG00000000215.11	Ins2	1.872446	0	1.488963	2.0397
ENSMUSG00000000216.8	Scnn1g	0	0	0	0
ENSMUSG00000000223.13	Drp2	4.303904	1.90854	3.752221	3.168519
ENSMUSG00000000244.17	Tspan32	1.328695	2.206914	1.468633	3.629895
ENSMUSG00000000247.11	Lhx2	78.489922	79.508742	157.266733	66.781871
ENSMUSG00000000248.16	Clec2g	0	0	0	0
ENSMUSG00000000253.13	Gmpr	32.432811	25.726834	13.405602	37.368456
ENSMUSG00000000263.15	Glra1	0	0	0	0
ENSMUSG00000000266.11	Mid2	0.769813	0.517083	0.678005	1.734813
ENSMUSG00000000275.16	Trim25	6.82735	6.082241	6.8613	12.158527
ENSMUSG00000000276.11	Dgke	5.25894	2.120596	3.788902	4.711252
ENSMUSG00000000278.10	Scpep1	72.396631	67.35877	73.139191	83.553002
ENSMUSG00000000282.12	Mnt	3.142184	2.571378	2.310495	3.121142
ENSMUSG00000000290.13	Itgb2	9.945798	9.206326	2.844777	17.04947
ENSMUSG00000000295.13	Hddc2	89.263679	94.774232	112.360987	109.758151
ENSMUSG00000000296.8	Tpd52l1	16.615036	14.976335	13.940563	25.503132
ENSMUSG00000000301.16	Pemt	15.295657	12.687568	12.929702	19.100472
ENSMUSG00000000303.12	Cdh1	0	0	0	0
ENSMUSG00000000305.12	Cdh4	33.461287	27.087973	72.21619	51.57744
ENSMUSG00000000308.14	Ckmt1	3.819555	6.256063	13.593751	16.527139
ENSMUSG00000000317.11	Bcl6b	1.51063	2.709465	2.644972	3.326735
ENSMUSG00000000318.16	Clec10a	8.519131	14.47555	2.663257	27.905881
ENSMUSG00000000320.10	Alox12	0.155854	0.641432	1.022541	0.761963
ENSMUSG00000000325.16	Arvcf	56.027354	51.501355	72.837069	58.09958
ENSMUSG00000000326.13	Comt	139.061085	151.723448	130.388924	156.804227
ENSMUSG00000000339.14	Rtca	86.965043	101.765224	95.156759	96.44312
ENSMUSG00000000340.10	Dbt	22.120565	31.308366	17.45688	19.439783
ENSMUSG00000000346.9	Dazap2	451.757562	452.649628	425.633342	393.978385
ENSMUSG00000000355.13	Mcts1	122.838858	134.541708	104.527691	119.798321
ENSMUSG00000000359.3	Rem1	0	0.557918	0.95328	1.985555
ENSMUSG00000000365.9	Rnf17	1.043893	1.071653	0.034716	2.385196
ENSMUSG00000000374.8	Trappc10	20.605036	11.776258	10.434214	26.67567
ENSMUSG00000000378.15	Ccm2	80.437871	86.361096	89.063039	78.475524
ENSMUSG00000000381.10	Wap	0	0	0	0
ENSMUSG00000000384.15	Tbrg4	31.374284	35.474409	23.728395	22.249712
ENSMUSG00000000385.8	Tmprss2	0	0	0	0
ENSMUSG00000000386.16	Mx1	0.11715	0.226153	0	0.58573
ENSMUSG00000000392.17	Fap	1.017827	0.088387	0.923882	1.526309
ENSMUSG00000000394.15	Gcg	0	0	0	0
ENSMUSG00000000399.10	Ndufa9	282.926432	309.218253	255.710409	255.872424
ENSMUSG00000000402.2	Egfl6	2.275895	1.982672	5.603285	3.540051
ENSMUSG00000000409.14	Lck	1.681037	2.01342	3.238924	2.520154
ENSMUSG00000000411.7	Tssk3	0	0	0	0.095044
ENSMUSG00000000416.16	Cttnbp2	19.264053	22.02279	32.921753	37.520988
ENSMUSG00000000420.15	Galnt1	57.668496	57.404708	85.4175	88.310956
ENSMUSG00000000435.1	Myf5	0	0	0	0
ENSMUSG00000000439.9	Mkrn2	13.722998	14.236932	25.087686	18.389279
ENSMUSG00000000440.12	Pparg	0	0	0.236064	1.914011
ENSMUSG00000000441.17	Raf1	131.556995	129.293589	135.906432	117.95009
ENSMUSG00000000486.13	Septin1	3.956399	4.848994	5.483918	4.097151
ENSMUSG00000000489.7	Pdgfb	6.477111	5.977173	0.587626	4.562257
ENSMUSG00000000530.16	Acvrl1	2.670628	1.427193	1.03303	7.3808
ENSMUSG00000000531.5	Grasp	10.515232	11.768414	6.138389	7.223386
ENSMUSG00000000532.11	Acvr1b	1.261572	0.893004	0.900095	2.552119
ENSMUSG00000000538.18	Tom1l2	20.980607	16.879086	20.881783	20.310806
ENSMUSG00000000544.14	Gpa33	0	0	0	0
ENSMUSG00000000552.10	Zfp385a	12.524569	15.045621	14.271429	16.966611
ENSMUSG00000000555.8	Itga5	4.746768	9.093393	8.747619	9.76715
ENSMUSG00000000560.9	Gabra2	5.411667	6.135981	12.886617	7.310362
ENSMUSG00000000561.14	Wdr77	56.593074	64.239237	77.743748	61.316196
ENSMUSG00000000562.5	Adora3	2.777733	3.013893	0.952051	1.580539
ENSMUSG00000000563.17	Atp5pb	339.548738	380.537532	372.137885	326.41815
ENSMUSG00000000567.5	Sox9	136.845888	115.453371	245.831156	127.566192
ENSMUSG00000000568.15	Hnrnpd	349.149743	326.755872	421.092277	306.043818
ENSMUSG00000000579.14	Dynlt1c	13.80412	11.509684	21.374548	20.778346
ENSMUSG00000000581.8	C1d	64.742019	61.794373	60.616621	70.301059
ENSMUSG00000000594.7	Gm2a	128.432677	124.900615	111.195158	155.358379
ENSMUSG00000000600.15	Krit1	28.218595	21.649617	36.159927	25.539317
ENSMUSG00000000605.9	Clcn4	185.261205	160.999212	147.650485	144.046793
ENSMUSG00000000606.18	Vmn2r88	0	0	0	0
ENSMUSG00000000617.14	Grm6	0	0	0.149149	0.207265
ENSMUSG00000000627.15	Sema4f	5.878954	5.106274	5.068254	7.08507
ENSMUSG00000000628.10	Hk2	4.445322	6.026853	2.198116	6.666976
ENSMUSG00000000631.20	Myo18a	13.81695	10.83288	16.714251	21.851018
ENSMUSG00000000632.13	Sez6	53.335418	37.319609	71.732721	54.503167
ENSMUSG00000000673.9	Haao	0	2.383497	0	1.038486
ENSMUSG00000000682.7	Cd52	35.078076	64.099507	5.055899	68.650301
ENSMUSG00000000686.11	Abhd15	6.414311	5.211493	5.047368	5.819941
ENSMUSG00000000690.5	Hoxb6	0	0	0.340192	0
ENSMUSG00000000693.10	Loxl3	19.226543	18.741607	24.73618	25.970062
ENSMUSG00000000701.8	Tcl1b5	0	0	0	0
ENSMUSG00000000706.16	Btn1a1	0.134828	0	0	0
ENSMUSG00000000708.14	Kat2b	4.283791	8.077316	7.692746	4.24019
ENSMUSG00000000711.3	Rab5b	35.599873	32.457762	33.349428	32.82516
ENSMUSG00000000724.10	Cryba1	0	0	0	0
ENSMUSG00000000730.13	Dnmt3l	0	0	0	0
ENSMUSG00000000731.15	Aire	0	0.165263	0.065889	0.070176
ENSMUSG00000000732.9	Icosl	9.654778	11.18369	3.707909	7.416936
ENSMUSG00000000738.18	Spg7	67.374879	70.000379	91.495051	79.642157
ENSMUSG00000000739.14	Sult5a1	0.398575	0	0.871653	2.563794
ENSMUSG00000000740.12	Rpl13	2064.825849	2245.436086	2222.045591	2456.103545
ENSMUSG00000000743.9	Chmp1a	148.605924	155.587523	139.786404	145.945064
ENSMUSG00000000751.13	Rpa1	97.975977	111.559245	135.523233	76.065003
ENSMUSG00000000753.15	Serpinf1	71.824647	52.26756	135.643648	64.888431
ENSMUSG00000000759.14	Tubgcp3	26.929184	29.667028	37.769324	24.088087
ENSMUSG00000000766.18	Oprm1	0	0	0	0
ENSMUSG00000000776.13	Polr3d	49.384805	33.027588	39.372044	56.753033
ENSMUSG00000000782.16	Tcf7	5.287579	3.433549	11.305341	11.729522
ENSMUSG00000000787.12	Ddx3x	82.605894	76.708006	85.043863	73.071336
ENSMUSG00000000791.9	Il12rb1	1.635922	0	0.03355	0.038314
ENSMUSG00000000792.2	Slc5a5	0.854267	0.618103	0.656908	1.708526
ENSMUSG00000000794.9	Kcnn3	2.832549	3.941891	3.80669	3.16902
ENSMUSG00000000804.14	Usp32	3.49746	2.656469	2.678065	3.661474
ENSMUSG00000000805.18	Car4	6.582892	13.104685	3.090295	20.097875
ENSMUSG00000000811.13	Txnrd3	7.081572	7.132073	6.60407	7.413314
ENSMUSG00000000817.10	Fasl	0	0	0	0
ENSMUSG00000000823.16	Zfp512b	12.326047	10.997278	21.227223	16.728727
ENSMUSG00000000826.16	Dnajc5	99.423378	102.443343	117.789081	111.341989
ENSMUSG00000000827.18	Tpd52l2	118.386848	126.58165	160.004256	135.31349
ENSMUSG00000000838.17	Fmr1	32.500131	24.654335	39.324153	37.727148
ENSMUSG00000000861.15	Bcl11a	8.225336	8.038906	19.499363	7.380587
ENSMUSG00000000869.12	Il4	6.466857	0.88449	4.235257	4.22993
ENSMUSG00000000876.11	Pxmp4	8.71198	14.962519	18.305354	16.793318
ENSMUSG00000000881.12	Dlg3	7.350352	9.598762	10.75859	10.659259
ENSMUSG00000000884.17	Gnb1l	11.979041	11.353653	14.706862	8.227689
ENSMUSG00000000889.8	Dbh	0	0	0	0
ENSMUSG00000000901.17	Mmp11	6.796104	2.3784	7.82835	6.814364
ENSMUSG00000000902.13	Smarcb1	263.205161	256.222623	259.530637	203.590596
ENSMUSG00000000903.3	Vpreb3	0	0.67181	0.267552	1.286188
ENSMUSG00000000915.15	Hip1r	42.195619	36.80475	26.611219	49.492918
ENSMUSG00000000916.15	Nsun5	26.305275	23.239489	26.662974	23.434903
ENSMUSG00000000934.9	Top1mt	10.053963	5.145419	8.833005	13.326096
